Полное имя,Работа,Емайл
Kate Kovalchuk,Developer,vbyzlmejoscgaiqtrhpxudnwkf@ukr.net
Denis Kovalchuk,Developer,qrtdauiswfkenbjvzmcgpxolhy@gmail.com
Paul Mahno,TechLead,rmipdxbwqnyschzukjaleofgtv@gmail.com
Denis Mahno,TeamLead,nezidbhguyflkvpoqtrajcmwxs@ukr.net
Kate Shevchenko,PM,ovewuhynbgtfqlkzsrapmcxdji@gmail.com
Kate Mahno,PM,dlyjotaxuvegcmiszrhfknbpwq@i.ua
Denis Bondar,TeamLead,utwjrfkcopznxybhsdeqlmgvai@gmail.com
Denis Kovalchuk,TeamLead,bxqjzpltmawgcovkiyrsnfdhue@gmail.com
Paul Shevchenko,TeamLead,nbpzcxqvwjfdmlytiuhogsraek@gmail.com
Olha Mahno,Developer,fxobwedazlivgmnhtujypcskrq@i.ua
Kate Kovalchuk,TeamLead,axsvugrwdfjznlcempihqktoyb@gmail.com
Denis Mahno,TechLead,gpmvhyrxzjsbetlqwouifdckan@i.ua
Kate Shevchenko,TeamLead,vcxnqtrjsiobhpugedazwfmlky@i.ua
Denis Shevchenko,TeamLead,vejikcagwluqzptynfhxmbsord@ukr.net
Olha Mahno,TechLead,hizvtsnfyqjlmxacbdpgkruoew@ukr.net
Olha Shevchenko,TechLead,ygvxumznwetjkbhrsfapldicoq@i.ua
Paul Bondar,TechLead,ymsbkulxapcnrviefjdogqwzht@ukr.net
Paul Shevchenko,PM,jcverxgknoaibhpqysuwmdzflt@ukr.net
Paul Mahno,TeamLead,ghpyjmkwdqrcvnieszlbfxtoua@gmail.com
Denis Bondar,PM,uzgvsimpdcqxjowerbhaflnkyt@ukr.net
Kate Shevchenko,Developer,flytjbwadvhmrzxkcgeioquspn@i.ua
Denis Shevchenko,Developer,nqbsxydvtrzpegcoumiajhlfkw@i.ua
Denis Mahno,TeamLead,peysqczgbnkuxtrilwjfahodvm@ukr.net
Paul Bondar,TechLead,rjobtihkygsfpancwzveuqmdlx@gmail.com
Olha Mahno,TechLead,szoewmjqrvabkndgcilpfxhyut@i.ua
Kate Mahno,TechLead,tdarfwkigymeqsopbnzlcvuxhj@ukr.net
Olha Bondar,PM,nertzcljhxkvyfoaupdigbwsqm@i.ua
Kate Mahno,TechLead,dphcxzaomjywlkutivfrbgqens@ukr.net
Denis Bondar,TechLead,jqdtxpmofvauczibenygkhrwls@gmail.com
Denis Bondar,TeamLead,wgvynqkmxljdfazebruotsipch@gmail.com
Olha Kovalchuk,TechLead,nsikmghajyzqrfovtwcudxpleb@gmail.com
Denis Bondar,TeamLead,ktxebrwsdlvomyzfqcaihpjnug@ukr.net
Paul Shevchenko,Developer,xjqiahyptsnzwfmgkborcuvdel@gmail.com
Paul Mahno,Developer,tuxzacrksfwnyvqljhpedobimg@ukr.net
