Полное имя,Работа,Емайл
Olha Mahno,Developer,jiwnmrhkqutbsxcgzeyplfovda@i.ua
Denis Bondar,TeamLead,eakfxsirynohmcduwqvpztgljb@ukr.net
Kate Kovalchuk,TechLead,ytbszxmguafveohcjpnkdqrwli@gmail.com
Paul Mahno,PM,ucotrvsqedwpgijmlhyzxafnbk@ukr.net
Denis Kovalchuk,TeamLead,icbzqanlugeoyfvxshtwrkmpjd@ukr.net
Olha Bondar,TeamLead,liatjkcqvrdmwnzpusgehfoxby@i.ua
Kate Kovalchuk,PM,ouyqmdtxhilbcgenprzjsavkwf@i.ua
Kate Bondar,PM,qjuilwzkgethvdoyrpfcxsnabm@i.ua
Paul Kovalchuk,PM,wlcjmbpkgshdnqivxfyzeturao@ukr.net
Denis Shevchenko,TeamLead,skjfazcximnvlerduotyghbqwp@ukr.net
Denis Bondar,Developer,bspyfcgoudtrqenwkxmzavjlih@ukr.net
Kate Bondar,Developer,tawcbrnyfiszgkxvqjuedmpohl@gmail.com
Paul Bondar,TechLead,xvdjncygbflrpuhoskqztemiwa@i.ua
Denis Shevchenko,TeamLead,knjmitezgaxruvchpyoqwlsbdf@ukr.net
Paul Bondar,TechLead,awyubrtpjxnghcisfedoqzlmvk@i.ua
Olha Bondar,Developer,zmcxbuvewgqotlrnfasdkihpjy@i.ua
Paul Bondar,PM,pftyhalvwgedrjxuizsqcoknbm@gmail.com
Kate Kovalchuk,Developer,yewmftvlgdzhoxqapkrnicusjb@ukr.net
Kate Kovalchuk,PM,tidwxhnjeclyafmogkvrsqzupb@ukr.net
Kate Shevchenko,Developer,ujostewlpiarfncmqzkxgydbvh@gmail.com
Paul Shevchenko,TeamLead,rhdizusnqkvbmgyofpxatejwcl@gmail.com
Paul Bondar,TeamLead,kbjachoqtrwvmngdpsuiyfelxz@gmail.com
Kate Mahno,TeamLead,dtlenbmokjcasvqzrfwyiguhxp@ukr.net
Kate Bondar,PM,lrfvcmdusyzkjaepbtowhxqnig@i.ua
Olha Bondar,Developer,hoikglyaqbpnsfrevtmujczxdw@i.ua
Olha Kovalchuk,Developer,aljoeswrqkinpyftdhmbvzcuxg@ukr.net
Olha Shevchenko,Developer,btdpehzuskfxrjqgacyinlowvm@i.ua
Kate Kovalchuk,PM,xargceqndimsjypkuthbzflvow@gmail.com
Paul Mahno,PM,adzpwyuvifsoqrghbnjemltkxc@ukr.net
Olha Bondar,PM,atclrybsvqoeufmjwpgidnxhzk@ukr.net
Olha Shevchenko,PM,kmstdibzawejcrhfyvouxqplgn@i.ua
Kate Kovalchuk,PM,mlibwgfrcykdzuajxsvothpqne@gmail.com
Paul Mahno,Developer,fhboekpsuxqivgtynjdcazwlmr@gmail.com
Olha Shevchenko,PM,semhjdnkypgifxbctvawuloqzr@ukr.net
Paul Kovalchuk,TechLead,zyicdxwknqgeraljutsovmhbfp@ukr.net
Olha Mahno,TechLead,kmpvjxbsdfiytcezugoawnlqrh@i.ua
Paul Kovalchuk,Developer,qlypmvjbughiskefdacnowztxr@gmail.com
Denis Shevchenko,TeamLead,nmvgfaowqlyxbsjkcipzuedthr@ukr.net
Kate Shevchenko,TechLead,lbvyzctmwirojugxhasfpqdken@i.ua
Denis Bondar,Developer,aipjyfxzsoulhwqkbrecmvgndt@i.ua
Olha Bondar,PM,hitpbujzdfsaywkvgnoecmxlrq@ukr.net
Kate Mahno,PM,mixobcuqlntfekgvpwhajrysdz@i.ua
Denis Mahno,TechLead,bcawhedtsmguvqknjzylirpxfo@gmail.com
