Полное имя,Работа,Емайл
Olha Mahno,TeamLead,ogjrxfzuksmwltiycnhvbqdape@i.ua
Paul Shevchenko,TechLead,acqbhptezdvymuolkgfisxjwrn@ukr.net
Paul Bondar,Developer,xsgpkfutvzcjdramhowniqyelb@i.ua
Kate Bondar,TechLead,mpkhdreyvlbsowuafxngtjciqz@gmail.com
Paul Mahno,TeamLead,wpqaolnyvucxijgbkfehzmrstd@gmail.com
Paul Mahno,TeamLead,gdhirbzapwoqenjckysltfuvmx@ukr.net
Paul Shevchenko,TeamLead,rbhecgnajoidwyqfpuslzkmxtv@gmail.com
Kate Mahno,Developer,mtpzyfhxulwekicanosvjrgbqd@ukr.net
Denis Kovalchuk,TeamLead,inmfzbkqwyhscatorxgludpvej@i.ua
Paul Bondar,Developer,yiqxgakjuectrhdpzvlsbonwmf@ukr.net
Olha Mahno,PM,ptwrbvycjhslxudkiofemzgaqn@ukr.net
Denis Bondar,PM,jdkxqrycpvbmhnzfltwouagies@i.ua
Denis Kovalchuk,TeamLead,rbgwkxhquympzainfcljstdveo@gmail.com
Olha Shevchenko,Developer,dkseunafvgilqcjbmohyzpwtrx@i.ua
Denis Mahno,TeamLead,kzludhvnoetawqifcbjgsmyrxp@ukr.net
Kate Kovalchuk,TeamLead,wucaxfhjseikobzpdvmgtynrlq@i.ua
Denis Kovalchuk,PM,utdycwnelhskqvbgzafipxjrmo@ukr.net
Denis Mahno,TechLead,yatlxckrfgbseovjpzdiumhnqw@ukr.net
Kate Shevchenko,PM,munhrdsogcptvbejaqfyxkwlzi@gmail.com
Olha Mahno,PM,mxrigeaowvtlfsckjzhqbpuynd@i.ua
Denis Mahno,PM,hkjpriegxuofyvmatzlwdqbscn@i.ua
Kate Shevchenko,Developer,dsxmgqujnpebwacrlifoyzvtkh@ukr.net
Denis Shevchenko,Developer,ybdqxkcjhumvprwitnsefazglo@gmail.com
Kate Bondar,Developer,ygkaptolsbmqxjnuwrvidhcfze@i.ua
Denis Bondar,Developer,genfsroiuahyljxqckbvzwpdmt@gmail.com
Denis Shevchenko,TeamLead,ljeoxtyvhinpdbmqgawucrkzfs@gmail.com
Olha Bondar,TechLead,udypxmrhviagtkfbqwlzsjoecn@gmail.com
Denis Kovalchuk,Developer,drmesnitcyjgwlaufqozkbxhpv@ukr.net
Kate Mahno,PM,bvlxqicfhaujpntgkrsdwoeymz@i.ua
Olha Bondar,TeamLead,lgvxztrweksjbqadimpfonyhuc@i.ua
Kate Kovalchuk,PM,pngzuxqjckmbritlaedwsvoyhf@ukr.net
Kate Shevchenko,Developer,mavglbhnjietuzoxpqcfwsrykd@ukr.net
Kate Mahno,Developer,ecnkbsmxydwqhfuziaprgvojlt@gmail.com
Kate Bondar,Developer,bwucernfyimjaosdzplhgqtxvk@gmail.com
Paul Bondar,Developer,nbgptfmarjvyohwedszuqklcxi@i.ua
Olha Kovalchuk,PM,awcyikhfjvuoblzpgqtednsmxr@i.ua
Paul Shevchenko,TechLead,npzvtrlsdkfmbhiaqjeywxgcuo@i.ua
Denis Shevchenko,TechLead,xlkewfgnbpuvjqsozmatiychdr@gmail.com
Olha Kovalchuk,TeamLead,bhuziyfmnpjglqarxdwoekvstc@i.ua
Paul Mahno,Developer,wtmjphgynbzseudvorxcfilkaq@gmail.com
Olha Kovalchuk,TechLead,mwejngravckpyubdzlhtoxfisq@ukr.net
Paul Mahno,Developer,mpigdfvyjbkconurwtsezaxlhq@ukr.net
Kate Shevchenko,Developer,yugxwrjvmfolabqtsinzdchkep@ukr.net
