Полное имя,Работа,Емайл
Kate Shevchenko,TeamLead,sydvbmhlzueiqjpowgfxtakncr@gmail.com
Kate Kovalchuk,PM,vtzlhkucoidepgqmjsnbxwaryf@ukr.net
Paul Shevchenko,Developer,pmntbgxiuyosjrklfqzchweadv@i.ua
Kate Mahno,Developer,jfbshptezgiwmnvqcokarlyuxd@gmail.com
Kate Kovalchuk,TeamLead,jkmoubfigvcpnzsyaextqldwrh@gmail.com
Kate Shevchenko,PM,lcntkvaezogybdhqrsjmuxipfw@gmail.com
Kate Kovalchuk,TeamLead,ldzethbxarufivjkynwsgpcmqo@gmail.com
Kate Kovalchuk,PM,zhfuqobsrldvmkgntwaxjeyipc@ukr.net
Paul Shevchenko,TeamLead,kxqtjvzsbrmfihpucedlwagnoy@gmail.com
Kate Shevchenko,TeamLead,ohxgjieacmvznrlydfsutqwbkp@i.ua
Paul Kovalchuk,Developer,vorknwgpfeqmtizhlajuxdcysb@ukr.net
Olha Bondar,PM,bguvtaidrehkcwsljnzoqmxpyf@ukr.net
Denis Kovalchuk,PM,kcvpjrfwaymusxlqbnhedgziot@gmail.com
Olha Kovalchuk,TeamLead,ykwtjnzucsbgldfaximehvoprq@gmail.com
Kate Mahno,PM,mgydsxvqkflptwijocznuraheb@i.ua
Olha Bondar,Developer,owuesnhcrvzxakfmqjylbidptg@gmail.com
Denis Kovalchuk,TeamLead,jdaciexznfgrysvpmtolhuwqkb@ukr.net
Paul Kovalchuk,TeamLead,ndgvbfxyhjrsozeiqmpckwuatl@i.ua
Olha Kovalchuk,PM,aixlcszegubpmhnjqrtfdkowvy@gmail.com
Denis Bondar,PM,mpoqetlwzbrngckvshdijxuyfa@i.ua
Paul Shevchenko,TechLead,merklqdhgcpjtxyiabzwsfouvn@i.ua
Kate Kovalchuk,PM,rdflivczmqjnxeagsobhykuwpt@ukr.net
Olha Bondar,Developer,eocvpibzafjrxnkslthygdwqmu@gmail.com
Kate Mahno,Developer,csvwrafomzqxjelktubdihyngp@ukr.net
Kate Mahno,TechLead,lmcfqujetwdhopgvyaxnzikrsb@gmail.com
Olha Bondar,PM,vgexdofrujckwziyshtpqnamlb@gmail.com
Kate Mahno,TechLead,rkqeyangdiofvxlhujwpsbcztm@i.ua
Kate Kovalchuk,PM,csybhjvtlmnekzdogxqfuwraip@gmail.com
Kate Shevchenko,TeamLead,frcbzmykqhpxliaudteowvnjsg@gmail.com
Denis Shevchenko,PM,ozxgqfltbhysrvjumeandwkicp@ukr.net
Denis Mahno,PM,udaobwgqeprtcvmfzkjhylsnxi@ukr.net
Paul Mahno,TechLead,ertgblkmyznupodsvwjixaqcfh@gmail.com
Kate Shevchenko,Developer,dypvsafzotmgehruqcxlwkinbj@ukr.net
Paul Mahno,PM,zligvsoeuxnhwfyjkpcbmdtqra@ukr.net
Kate Shevchenko,Developer,mdvzliygwscepjxonbufhqtkar@i.ua
Olha Shevchenko,PM,gtdocjbyrsfpzqaevnkwhxmiul@i.ua
Kate Bondar,PM,nulibxzcgyjmsfrhaodkvetwpq@i.ua
Paul Shevchenko,TechLead,bgjuqikvdelfrztnahyowcsmxp@ukr.net
Paul Kovalchuk,TechLead,rgukicjblmfxtwonzevdahypqs@i.ua
Kate Mahno,PM,nltdoumxravypqgejhsiwkzcbf@i.ua
Denis Kovalchuk,Developer,hcbwaqytfxvjrlmioenspgkduz@ukr.net
Kate Mahno,Developer,tewxrcuyvhizgmdaplsnqjkfob@i.ua
Paul Bondar,PM,sdfhouakxrpigmbwqjzlvntecy@ukr.net
Olha Bondar,Developer,qbylptvianumrkfgsehdjczwxo@gmail.com
Olha Kovalchuk,TeamLead,zdkwxmrphoelncuqtafybgjisv@i.ua
Paul Mahno,PM,dyektrpwghazcvifoujlsbmqnx@gmail.com
Olha Shevchenko,Developer,ntmkzdxlpigjqwyahsfbocuvre@i.ua
Olha Shevchenko,PM,kzxvbdoatwjrfmeqghuypnlsic@ukr.net
Kate Mahno,TeamLead,qxkmlrdeuyfsjcnpgbzviwoath@i.ua
Paul Mahno,TechLead,olgphmqbuwiyjrnkcdsefxztav@gmail.com
Kate Mahno,TeamLead,vahrejipuyxtmwlsdfncozgqbk@i.ua
Olha Shevchenko,Developer,bamulpetidrzxyvjgcwkfsonhq@gmail.com
Denis Mahno,PM,sqwlpybvkuxeimzjnhctfrgaod@gmail.com
Kate Bondar,PM,gkzcsoilqwhndmypreaufvjxtb@ukr.net
Olha Kovalchuk,Developer,tfbleniroumaxjykghszvpcwqd@i.ua
Kate Mahno,TechLead,duoterfzgvqyxishbawcjklnmp@gmail.com
Olha Kovalchuk,Developer,oklnxduwzehpasrcfvbgtimjyq@ukr.net
Kate Bondar,TechLead,tcwmvkpodybaeflgqxsjurihnz@i.ua
Olha Shevchenko,Developer,lybrmhnqctwdakevzjosixupgf@ukr.net
